,date,revenue
0,2022-08-16,326.81050446132497
1,2022-08-17,327.07227198698297
2,2022-08-18,326.5451174549641
3,2022-08-19,326.7644079565965
4,2022-08-22,327.4617587792636
5,2022-08-23,327.75088711642366
6,2022-08-24,327.89888992461135
7,2022-08-25,327.17252327423574
8,2022-08-26,327.07747937823933
9,2022-08-29,326.2574274137079
10,2022-08-30,325.86711405990945
11,2022-08-31,325.26533574716643
12,2022-09-01,323.74488414812333
13,2022-09-02,322.794026338484
14,2022-09-06,317.9566986498771
15,2022-09-07,316.468186383443
16,2022-09-08,314.1131468434934
17,2022-09-09,312.3630547517049
18,2022-09-10,269.21899060884255
19,2022-09-11,267.4091369737038
20,2022-09-12,306.8380370442833
21,2022-09-13,305.0391823331522
22,2022-09-14,303.1473760443678
23,2022-09-15,300.502932797398
24,2022-09-16,298.5495775030196
25,2022-09-17,256.14719631188177
26,2022-09-18,254.33461714969013
27,2022-09-19,293.00868392541054
28,2022-09-20,291.3886935290895
29,2022-09-21,289.76007581989995
30,2022-09-22,287.4703156649714
31,2022-09-23,285.92456348317876
32,2022-09-24,244.8317457213496
33,2022-09-25,243.53282214855398
34,2022-09-26,281.90983267490435
35,2022-09-27,280.86230190297357
36,2022-09-28,279.8223130465402
37,2022-09-29,278.1421876600044
38,2022-09-30,277.18780137591443
39,2022-10-01,237.51800678723728
40,2022-10-02,236.7782819924157
41,2022-10-03,274.8396293636422
42,2022-10-04,274.2867959438604
43,2022-10-05,273.70456339187547
44,2022-10-06,272.4569867434096
45,2022-10-07,271.8782018096553
